Date,Username,User tag,Content,Mentions,link
"2023-03-07,21:57:56","Flow Music","#6823","The queue has ended, disconnecting from the channel.","",""
"2023-03-09,20:06:44","MangalhoDePauPT","#2657","*play https://www.youtube.com/watch?v=5TKb-hABwfg&t=478s","",""
"2023-03-09,20:06:44","Green-bot","#5315","","",""
"2023-03-09,20:07:26","MangalhoDePauPT","#2657","/play Old School Reggae Mix | Roots Reggae & Reggae Remix #1","",""
"2023-03-09,20:07:41","Flow Music","#6823","","",""
"2023-03-09,20:08:09","Flow Music","#6823","Now playing **Reggae Mixtape Vol.1 (Continuous Mix)** from **Various Artists**, requested by **<@154992376685789184>**.","",""
"2023-03-09,20:08:41","Flow Music","#6823","The music has been stopped, disconnecting.","",""
"2023-03-09,20:08:42","Flow Music","#6823","The queue has ended, disconnecting from the channel.","",""
"2023-03-09,20:09:41","Flow Music","#6823","","",""
"2023-03-09,20:09:52","Flow Music","#6823","Now playing **Alias. - Ring Ring (Reggae Dubstep Glitch Mix)** from **Dubstep/DJ Dubstep Rave/Drum & Bass**, requested by **<@220271899656060928>**.","",""
"2023-03-09,20:10:50","Flow Music","#6823","The music has been stopped, disconnecting.","",""
"2023-03-09,20:10:51","Flow Music","#6823","The queue has ended, disconnecting from the channel.","",""
"2023-03-09,20:11:34","Flow Music","#6823","","",""
"2023-03-09,20:11:40","Flow Music","#6823","Now playing **on & on** from **piri & tommy/Tommy Villiers**, requested by **<@220271899656060928>**.","",""
"2023-03-09,20:13:56","Flow Music","#6823","The queue has ended, disconnecting from the channel.","",""
"2023-03-09,21:01:14","MangalhoDePauPT","#2657","","","https://cdn.discordapp.com/attachments/834188603952463883/1083494729817260113/aMEdAnV_460swp.webp?ex=65971c99&is=6584a799&hm=d8d89a9a57d078f0459363be354f300b5c6d794325b8c0198758db22c58d40c0&"
"2023-03-10,18:05:53","leftwild","#0","*play emma peters magnolies forever","",""
"2023-03-10,18:06:45","Tempo","#1917","<@246032185780469760> | Added `Magnolias for Ever` by `Emma Peters, Leo Kodian` to the queue.","leftwild#0",""
"2023-03-10,18:11:27","Tempo","#1917","","",""
"2023-03-10,18:11:42","Tempo","#1917","<@246032185780469760> | Added `Clandestina - Cocaina Remix` by `FILV, Edmofo, Emma Peters` to the queue.","leftwild#0",""
"2023-03-10,18:19:15","Tempo","#1917","<@246032185780469760> | Added `Gisèle` by `Emma Peters, Juicy Cola` to the queue.","leftwild#0",""
"2023-03-10,18:27:38","Tempo","#1917","To save on bandwidth, I've automatically left the voice channel due to inactivity.

To disable this, you can purchase Premium on our website: https://tempobot.net/premium
You can also unlock exclusive features like AutoPlay, Playlists, Volume Control and more!","",""
"2023-03-12,16:05:38","Tempo","#1917","<@246035973916327937> | Added `Ocean Man` by `Ween` to the queue.","danielprop#0",""
"2023-03-12,16:13:38","Tempo","#1917","To save on bandwidth, I've automatically left the voice channel due to inactivity.

To disable this, you can purchase Premium on our website: https://tempobot.net/premium
You can also unlock exclusive features like AutoPlay, Playlists, Volume Control and more!","",""
"2023-03-14,20:07:42","Tempo","#1917","<@246032185780469760> | Added `Little Dark Age` by `MGMT` to the queue.","leftwild#0",""
"2023-03-14,20:18:38","Tempo","#1917","To save on bandwidth, I've automatically left the voice channel due to inactivity.

To disable this, you can purchase Premium on our website: https://tempobot.net/premium
You can also unlock exclusive features like AutoPlay, Playlists, Volume Control and more!","",""
"2023-03-15,19:18:29","Tempo","#1917","<@246032185780469760> | Added `Chaga` by `Ornatos Violeta` to the queue.","leftwild#0",""
"2023-03-15,19:21:50","leftwild","#0","*play ornatos violeta ouvi dizer","",""
"2023-03-15,19:25:41","Green-bot","#5315","","",""
"2023-03-15,19:27:02","Tempo","#1917","To save on bandwidth, I've automatically left the voice channel due to inactivity.

To disable this, you can purchase Premium on our website: https://tempobot.net/premium
You can also unlock exclusive features like AutoPlay, Playlists, Volume Control and more!","",""
"2023-03-15,22:40:56","Tempo","#1917","<@246035973916327937> | Added `That's Life` by `Frank Sinatra` to the queue.","danielprop#0",""
"2023-03-15,22:45:34","Tempo","#1917","<@246035973916327937> | Added `50` tracks from `That's Life - Remastered 2008 Radio` to the queue.","danielprop#0",""
"2023-03-16,00:13:25","Tempo","#1917","Sorry, but I failed to find a suitable source for **Just Sittin' Here** by **B347L35**","",""
"2023-03-16,01:22:02","Tempo","#1917","To save on bandwidth, I've automatically left the voice channel due to inactivity.

To disable this, you can purchase Premium on our website: https://tempobot.net/premium
You can also unlock exclusive features like AutoPlay, Playlists, Volume Control and more!","",""
"2023-03-17,18:36:46","leftwild","#0","*play crosses jose gonzales","",""
"2023-03-17,18:37:10","Green-bot","#5315","","",""
"2023-03-17,19:00:55","Patchoras","#0310","*play tunak tunak","",""
"2023-03-17,19:01:55","Green-bot","#5315","","",""
"2023-03-17,19:06:57","Green-bot","#5315","","",""
"2023-03-17,19:14:18","Flow Music","#6823","","",""
"2023-03-17,19:14:26","Flow Music","#6823","Now playing **Glamurosa** from **MC Marcinho**, requested by **<@220271899656060928>**.","",""
"2023-03-17,19:17:59","Flow Music","#6823","The queue has ended, disconnecting from the channel.","",""
"2023-03-17,19:39:59","Flow Music","#6823","","",""
"2023-03-17,19:40:08","Flow Music","#6823","Now playing **É o Bicho** from **Iran Costa**, requested by **<@220271899656060928>**.","",""
"2023-03-17,19:40:20","Flow Music","#6823","The music has been stopped, disconnecting.","",""
"2023-03-17,19:40:43","Flow Music","#6823","","",""
"2023-03-17,19:40:51","Flow Music","#6823","Now playing **Onda Onda (Olha a Onda)** from **Tchakabum**, requested by **<@220271899656060928>**.","",""
"2023-03-17,19:45:29","Flow Music","#6823","The queue has ended, disconnecting from the channel.","",""
"2023-03-17,21:55:21","Green-bot","#5315","","",""
"2023-03-17,21:56:51","Green-bot","#5315","","",""
"2023-03-17,21:57:30","Flow Music","#6823","","",""
"2023-03-17,21:58:18","Tempo","#1917","<@246032185780469760> | Added `Cantiga da Burra` by `Sebastião Antunes & Quadrilha, Galandum Galundaina, Luis Peixoto` to the queue.","leftwild#0",""
"2023-03-17,22:06:07","Tempo","#1917","<@246032185780469760> | Added `Stars On The Roof (feat. MoMo)` by `Alcemist, MoMo` to the queue.","leftwild#0",""
"2023-03-17,22:13:29","Tempo","#1917","<@246032185780469760> | Added `All U Gotta Do` by `Bou` to the queue.","leftwild#0",""
"2023-03-17,22:21:11","Tempo","#1917","<@246032185780469760> | Added `84` tracks from `B&B` to the queue.","leftwild#0",""
"2023-03-17,22:21:21","Tempo","#1917","<@246032185780469760> | Once a song ends it will be added again to the back of the queue.","leftwild#0",""
"2023-03-17,22:21:25","Tempo","#1917","<@246032185780469760> | When your song ends, you will need to add it if you want to listen to it again.","leftwild#0",""
"2023-03-17,22:21:28","Tempo","#1917","<@246032185780469760> | Keeping the tunes rolling! The current song will repeat over and over until you disable this.","leftwild#0",""
"2023-03-17,22:21:31","Tempo","#1917","<@246032185780469760> | Time for a change already? Once this song ends then the queue will continue as normal.","leftwild#0",""
"2023-03-17,23:37:53","MangalhoDePauPT","#2657","wtf","",""
"2023-03-17,23:38:05","MangalhoDePauPT","#2657","o meu mic","",""
"2023-03-18,00:57:35","MangalhoDePauPT","#2657","https://img-9gag-fun.9cache.com/photo/aBdZqxO_460svvp9.webm","",""
"2023-03-18,01:25:09","Green-bot","#5315","","",""
"2023-03-18,14:11:52","Tempo","#1917","<@154992376685789184> | Added `Voodoo People` by `The Prodigy` to the queue.","MangalhoDePauPT#2657",""
"2023-03-18,14:24:02","Tempo","#1917","To save on bandwidth, I've automatically left the voice channel due to inactivity.

To disable this, you can purchase Premium on our website: https://tempobot.net/premium
You can also unlock exclusive features like AutoPlay, Playlists, Volume Control and more!","",""
"2023-03-18,14:45:23","Flow Music","#6823","","",""
"2023-03-18,14:45:33","Flow Music","#6823","Now playing **Firestarter** from **The Prodigy**, requested by **<@154992376685789184>**.","",""
"2023-03-18,14:50:14","Flow Music","#6823","The queue has ended, disconnecting from the channel.","",""
"2023-03-18,15:04:13","Flow Music","#6823","","",""
"2023-03-18,15:04:22","Flow Music","#6823","Now playing **I Like To Move It** from **Madagascar 5**, requested by **<@220271899656060928>**.","",""
"2023-03-18,15:07:39","Flow Music","#6823","The queue has ended, disconnecting from the channel.","",""
